koatuu;latitude;longitude
0120481302;44.8391667;33.6330556
0120481900;44.6291667;33.8666667
0120481901;44.5972222;33.9152778
0120481902;44.5775000;33.9388889
0120481903;44.5569444;33.8722222
0120481904;44.6050000;33.8933333
0120481905;44.5736111;33.9097222
0120481906;44.5513889;33.9013889
0120481907;44.5694444;33.8916667
0120481908;44.5500000;33.9594444
0120481909;44.6083333;33.9486111
0120482200;44.7527778;33.7750000
0120482201;44.7536111;33.7747222
0120482202;44.7372222;33.7991667
0120482203;44.7583333;33.7430556
0120482500;44.7250000;33.8000000
0120482501;44.7175000;33.8033333
0120482502;44.6811111;33.8394444
0120482503;44.7152778;33.8236111
0120482504;44.7288889;33.8088889
0120482505;44.7344444;33.7852778
0120482506;44.7022222;33.7975000
0120482507;44.6952778;33.8305556
0120482900;44.5944444;34.0111111
0120482901;44.5958333;34.0097222
0120482902;44.5791667;34.0083333
0120482903;44.5583333;34.0722222
0120482904;44.5777778;33.9930556
0120482905;44.5861111;33.9638889
0120482906;44.5741667;34.0713889
0120483600;44.8666700;33.7611100
0120483601;44.8680556;33.7913889
0120483602;44.8602778;33.7308333
0120483603;44.8388889;33.7502778
0120483604;44.8652778;33.7611111
0120483900;44.6416667;33.7805556
0120483901;44.6438889;33.7808333
0120483902;44.6236111;33.7872222
0120483903;44.6583333;33.7541667
0120483905;44.6055556;33.7930556
0120484400;44.8494445;33.6000000
0120484401;44.8483333;33.6000000
0120484402;44.8994444;33.6255556
0120484600;44.8722222;33.8333333
0120484601;44.8722222;33.8555556
0120484602;44.8647222;33.8008333
0120484603;44.8883333;33.8713889
0120484604;44.9136111;33.8397222
0120484605;44.8700000;33.8200000
0120485000;44.8111111;33.9763889
0120485001;44.8111111;33.9763889
0120485002;44.7911111;33.9144444
0120485003;44.7563889;33.9930556
0120485004;44.7869444;33.9941667
0120485500;44.9019445;33.6794444
0120485501;44.9019444;33.6794444
0120486200;44.7416667;33.6708333
0120486201;44.7427778;33.6713889
0120486202;44.7361111;33.6458333
0120486203;44.7541667;33.7194444
0120486204;44.7458333;33.6944444
0120486205;44.7347222;33.6291667
0120488400;44.8222222;33.6027778
0120488401;44.8222222;33.6027778
0120700000;45.0544000;34.6022000
0120710100;45.0544444;34.6022222
0120755300;45.0027778;34.3027778
0120755301;45.0000000;34.3333333
0120755302;44.9805556;34.3194444
0120755303;45.0125000;34.2916667
0120755305;45.1138889;34.2958333
0120755307;45.0850000;34.3091667
0120755308;45.0450000;34.3013889
0120755309;44.9875000;34.3041667
0120755310;45.1308333;34.2786111
0120780400;45.0361111;34.4000000
0120780401;45.0361111;34.4000000
0120780402;45.0027778;34.3472222
0120780403;44.9936111;34.3625000
0120780800;45.0277778;34.7666667
0120780801;45.0280556;34.7661111
0120780802;45.0100000;34.7502778
0120780803;44.9836111;34.7433333
0120780804;45.0375000;34.7847222
0120780805;44.9488889;34.7211111
0120780806;45.0213889;34.7916667
0120780807;45.0125000;34.7347222
0120781300;45.1394444;34.7236111
0120781301;45.1394444;34.7227778
0120781303;45.1297222;34.7386111
0120781304;45.0941667;34.7700000
0120781305;45.1802778;34.7136111
0120781306;45.1102778;34.7169444
0120781307;45.1594444;34.7300000
0120781900;45.1402778;34.6013889
0120781901;45.1416667;34.6013889
0120781902;45.0958333;34.6375000
0120781903;45.1341667;34.5694444
0120782500;45.0091667;34.4694444
0120782501;45.0097222;34.4691667
0120782502;44.9944444;34.4541667
0120782503;44.9838889;34.4105556
0120782505;45.0216667;34.4877778
0120782506;45.0038889;34.4966667
0120782507;44.9683333;34.5830556
0120782508;45.0250000;34.5277778
0120782509;44.9883333;34.4230556
0120782510;44.9361111;34.5427778
0120782511;44.9861111;34.4583333
0120782700;44.9670000;34.8330000
0120782701;44.9722222;34.8347222
0120782702;44.9888889;34.8291667
0120782703;44.9972222;34.9013889
0120782704;44.9952778;34.8438889
0120782705;45.0027778;34.7888889
0120782706;44.9697222;34.7780556
0120782707;45.0008333;34.8800000
0120782900;45.2300000;34.6500000
0120782901;45.2355556;34.6466667
0120782902;45.2000000;34.6180556
0120783400;45.0000000;34.6166000
0120783401;45.0250000;34.6097222
0120783402;44.9536111;34.6633333
0120783404;44.9750000;34.6250000
0120783405;44.9958333;34.6058333
0120783406;45.0244444;34.6327778
0120783407;44.9313889;34.6325000
0120783409;45.0788889;34.6147222
0120783600;45.0500000;34.3583333
0120783601;45.0538889;34.3602778
0120783603;45.0277778;34.3333333
0120783800;45.0277778;34.9333333
0120783801;45.0277778;34.9352778
0120783802;45.0105556;34.8769444
0120784200;45.2000000;34.4222222
0120784201;45.2005556;34.4194444
0120784202;45.1958333;34.4694444
0120784600;45.0722222;34.7083333
0120784601;45.0752778;34.7075000
0120784602;45.0527778;34.7483333
0120785000;45.0888889;34.8472222
0120785001;45.0908333;34.8486111
0120785002;45.0527778;34.8350000
0120785003;45.0727778;34.8580556
0120785005;45.0650000;34.8294444
0120785006;45.1250000;34.8444444
0120785800;45.1666667;34.2333333
0120785801;45.1611111;34.2338889
0120785802;45.2583333;34.3013889
0120785803;45.1902778;34.2866667
0120785804;45.2266667;34.2708333
0120786300;45.1250000;34.4736111
0120786301;45.1230556;34.4733333
0120786302;45.1488889;34.4927778
0120788400;45.1000000;34.3902778
0120788401;45.0833333;34.3905556
0120788402;45.1375000;34.3805556
0120788800;45.0333333;34.6388889
0120788801;45.0444444;34.6383333
0120788802;45.0233333;34.6997222
0120788803;45.0027778;34.6763889
0120788804;45.0011111;34.6541667
0121100000;45.7086000;34.3933000
0121155200;45.5833333;34.5666667
0121155400;45.5655556;34.3063889
